-16 	-16 	-14 	-12 	-11 	-11 	-12 	-14 	-17 	-20 	-21 	-20 	-18 	-17 	-17 	-19 	-20 	-22 	-23 	-23 	-22 	-20 	-19 	-18 	-17 	-16 	-15 	-15 	-14 	-12 	-10 	-9 	-11 	-15 	-19 	-20 	-19 	-17 	-16 	-16 	-16 	-18 	-19 	-19 	-19 	-19 	-19 	-22 	-25 	-27 	-28 	-27 	-26 	-25 	-25 	-24 	-21 	-20 	-19 	-17 	-14 
-12 	-14 	-16 	-19 	-19 	-19 	-17 	-16 	-17 	-19 	-19 	-20 	-20 	-21 	-21 	-20 	-20 	-19 	-17 	-15 	-15 	-15 	-15 	-13 	-11 	-9 	-11 	-16 	-19 	-19 	-17 	-16 	-15 	-14 	-14 	-15 	-17 	-18 	-18 	-19 	-19 	-21 	-24 	-26 	-25 	-25 	-24 	-23 	-23 	-23 	-23 	-23 	-21 	-17 	-14 	-13 	-12 	-13 	-14 	-14 	-15 
-17 	-16 	-17 	-18 	-19 	-19 	-19 	-19 	-19 	-18 	-18 	-17 	-15 	-13 	-12 	-12 	-13 	-12 	-10 	-9 	-11 	-15 	-17 	-17 	-16 	-16 	-17 	-16 	-15 	-15 	-17 	-18 	-18 	-17 	-18 	-21 	-23 	-23 	-23 	-22 	-22 	-22 	-21 	-18 	-18 	-19 	-19 	-16 	-14 	-14 	-14 	-13 	-11 	-11 	-12 	-15 	-17 	-20 	-22 	-25 	-27 
-19 	-19 	-18 	-17 	-17 	-15 	-12 	-9 	-8 	-8 	-9 	-9 	-8 	-8 	-11 	-14 	-16 	-16 	-17 	-17 	-17 	-16 	-15 	-17 	-18 	-18 	-15 	-14 	-16 	-20 	-23 	-24 	-23 	-21 	-19 	-18 	-17 	-16 	-17 	-19 	-20 	-20 	-17 	-15 	-16 	-17 	-17 	-17 	-19 	-22 	-25 	-27 	-29 	-30 	-30 	-30 	-31 	-33 	-34 	-34 	-31 
-12 	-9 	-9 	-10 	-11 	-11 	-8 	-7 	-10 	-15 	-18 	-19 	-19 	-19 	-20 	-19 	-18 	-18 	-19 	-20 	-19 	-17 	-17 	-19 	-22 	-23 	-22 	-20 	-19 	-19 	-18 	-17 	-18 	-20 	-21 	-21 	-19 	-16 	-14 	-13 	-15 	-18 	-21 	-22 	-24 	-26 	-28 	-30 	-31 	-33 	-33 	-33 	-32 	-32 	-32 	-29 	-26 	-25 	-23 	-22 	-21 
-8 	-7 	-10 	-15 	-18 	-18 	-19 	-19 	-19 	-18 	-17 	-16 	-16 	-18 	-18 	-18 	-19 	-22 	-23 	-22 	-20 	-18 	-19 	-19 	-19 	-18 	-19 	-19 	-19 	-19 	-17 	-15 	-13 	-13 	-15 	-19 	-22 	-24 	-26 	-28 	-30 	-33 	-34 	-34 	-34 	-33 	-31 	-30 	-30 	-28 	-25 	-23 	-21 	-20 	-17 	-11 	-6 	-3 	-2 	-2 	-3 
-19 	-19 	-19 	-17 	-15 	-15 	-15 	-16 	-17 	-19 	-19 	-20 	-22 	-22 	-20 	-17 	-18 	-20 	-20 	-18 	-18 	-18 	-18 	-17 	-15 	-13 	-12 	-12 	-14 	-15 	-17 	-20 	-23 	-27 	-29 	-31 	-32 	-34 	-35 	-35 	-34 	-32 	-30 	-29 	-27 	-26 	-23 	-19 	-14 	-11 	-8 	-5 	-4 	-6 	-8 	-9 	-11 	-13 	-15 	-18 	-19 
-15 	-16 	-17 	-19 	-19 	-20 	-22 	-22 	-20 	-18 	-17 	-18 	-19 	-18 	-17 	-19 	-20 	-18 	-15 	-13 	-12 	-12 	-13 	-15 	-17 	-19 	-23 	-26 	-28 	-31 	-34 	-36 	-36 	-35 	-34 	-32 	-32 	-31 	-29 	-27 	-25 	-22 	-17 	-14 	-10 	-4 	0 	-1 	-4 	-7 	-7 	-7 	-9 	-12 	-15 	-16 	-16 	-16 	-15 	-15 	-16 
-22 	-22 	-20 	-19 	-18 	-19 	-18 	-16 	-17 	-18 	-20 	-18 	-13 	-10 	-7 	-7 	-9 	-12 	-14 	-17 	-21 	-25 	-29 	-31 	-33 	-35 	-35 	-33 	-31 	-29 	-29 	-30 	-28 	-25 	-21 	-17 	-10 	-3 	2 	3 	1 	-2 	-4 	-6 	-10 	-13 	-14 	-13 	-15 	-16 	-16 	-17 	-17 	-17 	-17 	-17 	-14 	-12 	-13 	-15 	-16 
-18 	-17 	-17 	-18 	-19 	-17 	-13 	-8 	-5 	-4 	-4 	-6 	-11 	-16 	-20 	-25 	-29 	-31 	-32 	-33 	-33 	-31 	-29 	-28 	-29 	-27 	-25 	-21 	-19 	-14 	-8 	-2 	3 	4 	4 	1 	-4 	-8 	-11 	-13 	-13 	-13 	-14 	-15 	-16 	-18 	-18 	-16 	-13 	-14 	-15 	-16 	-17 	-17 	-17 	-17 	-16 	-16 	-18 	-19 	-21 
-13 	-8 	-5 	-4 	-4 	-7 	-12 	-17 	-22 	-26 	-29 	-30 	-30 	-32 	-32 	-31 	-31 	-30 	-28 	-28 	-26 	-23 	-21 	-18 	-14 	-10 	-3 	3 	3 	0 	-4 	-7 	-9 	-10 	-11 	-12 	-13 	-13 	-15 	-14 	-13 	-11 	-12 	-14 	-14 	-13 	-12 	-11 	-12 	-14 	-16 	-17 	-17 	-18 	-20 	-22 	-24 	-24 	-26 	-28 	-29 
-12 	-17 	-21 	-26 	-30 	-31 	-31 	-31 	-30 	-29 	-30 	-30 	-30 	-30 	-27 	-23 	-20 	-16 	-11 	-7 	-3 	0 	-1 	-3 	-4 	-6 	-9 	-10 	-12 	-12 	-11 	-10 	-11 	-10 	-10 	-9 	-11 	-15 	-18 	-18 	-15 	-14 	-15 	-17 	-18 	-18 	-19 	-22 	-24 	-24 	-24 	-24 	-25 	-27 	-26 	-25 	-23 	-23 	-23 	-22 	-21 
-31 	-32 	-31 	-30 	-29 	-29 	-29 	-28 	-26 	-23 	-20 	-15 	-10 	-5 	0 	3 	4 	5 	6 	2 	-5 	-8 	-9 	-9 	-9 	-11 	-13 	-14 	-14 	-15 	-17 	-18 	-19 	-17 	-16 	-17 	-19 	-19 	-19 	-20 	-21 	-21 	-22 	-22 	-22 	-22 	-23 	-23 	-23 	-22 	-21 	-21 	-21 	-20 	-19 	-20 	-22 	-23 	-23 	-21 	-19 
-29 	-28 	-26 	-23 	-19 	-14 	-9 	-5 	-2 	1 	4 	7 	9 	7 	1 	-4 	-7 	-9 	-10 	-12 	-15 	-17 	-16 	-16 	-21 	-23 	-21 	-19 	-18 	-20 	-22 	-22 	-21 	-21 	-22 	-22 	-21 	-21 	-21 	-22 	-22 	-24 	-25 	-24 	-23 	-22 	-22 	-22 	-22 	-22 	-22 	-21 	-21 	-20 	-19 	-16 	-11 	-8 	-6 	-5 	-3 
-9 	-5 	-1 	1 	4 	6 	6 	5 	2 	-1 	-5 	-7 	-8 	-10 	-13 	-17 	-18 	-17 	-18 	-21 	-22 	-20 	-20 	-21 	-23 	-24 	-24 	-23 	-23 	-24 	-23 	-23 	-23 	-22 	-22 	-22 	-23 	-22 	-22 	-22 	-22 	-22 	-21 	-19 	-19 	-19 	-21 	-22 	-21 	-19 	-16 	-15 	-14 	-13 	-10 	-9 	-7 	-6 	-6 	-6 	-6 
