5.2	-14.7	-8.1	-10.1
-1.6	-15	-5.3	-9.2
-1.3	-15	-5.1	-5.6
1.4	-14.8	-2.7	-5.4
3.4	-13.7	-1.1	-8.7
8.8	-13	-4.4	-12.8
9.6	-13.1	-12.8	-17.1
3.2	-14.3	-18.4	-21.7
-4	-15	-21.1	-22.6
-8.7	-16.2	-19.6	-21.7
-11.2	-16.7	-17.2	-21.4
-9.9	-16.8	-13.2	-17.9
-3	-16	-10.9	-15.3
2.4	-15.1	-5.4	-11.9
7.5	-13.6	-2.7	-11.9
12.4	-12.5	-3.7	-10.7
11.4	-12	-5.6	-12.9
7.3	-12	-8.6	-14.1
4.1	-12	-12.2	-16.7
0.6	-12.7	-12.7	-15.5
-2.2	-13	-9.5	-13.2
-1.1	-13	-6.7	-12.8
3.8	-12.1	-6.8	-13.7
7.9	-12	-7.3	-14
7.8	-12	-8.7	-13.8
2.9	-12.2	-8.9	-12.1
3	-13	-8.8	-11.4
1.1	-12.9	-6.6	-10.4
2.4	-12	-4	-7.3
5.2	-11.1	-0.5	-3.3
8.1	-10.2	4.4	1.8
14.1	-8.6	9.2	6.1
19.6	-6.7	13.4	8.2
25.8	-5.1	16.2	13.2
28	-3.8	21.3	15.8
30.8	-2.4	23	16.5
37.6	-0.3	26.7	22.2
38.5	0.2	32	28.4
40.9	2.3	37.5	31.1
49.6	4.5	37.8	30.6
53.3	5.9	37.8	30.9
49.4	6.6	37.8	31.3
46.8	7.1	38.8	34
47	8.2	41	35.1
50.5	9	42.4	30.6
55.4	9.4	40.1	31.8
54.1	9.3	37	29.7
49.4	8.7	33.2	25.6
46	7.3	29.3	19.7
41.2	6	25.4	15.8
40.2	4.7	24.6	14.3
40	8.6	26.1	15.3
39.7	25.8	24.3	14.4
39.8	24.7	21.9	8
41.4	23.8	16.2	0.9
41.3	22.3	11.9	-2.5
37.1	20.1	5.2	-8.2
31.3	18.2	1	-10.2
23.3	16.2	0.9	-7.5
16.4	14.7	4.6	-0.8
14.4	14	7.8	-2
20.1	14	8.2	1.3
23.7	14.2	10.6	0.2
23.3	15	12	1.6
22.5	15	10.5	3.1
21.5	15	7	-1.9
19.4	14.9	5.2	-1
15.6	14	6.2	-0.2
14.2	14	6.6	-1.5
15.5	14	5.4	-2.8
15.8	14	2.5	-3.2
12.7	14	2	-5.6
8.8	14	0	-7
7.3	14	-3.3	-11.2
4.1	13.1	-8.5	-14.4
0.9	12.8	-11.2	-14.3
-3.8	12	-10.5	-13.2
-7.2	12	-6.7	-6
-7.5	12.9	0.8	-1.8
1	15.2	5.1	3.8
13.8	17.2	9.3	6
20	19.2	14.6	6.2
25.6	21.2	14.4	5.8
25.5	22	12.5	3.7
21.6	22	7.8	3.1
17.2	21.1	6.8	4.2
13.6	21	10.2	6.5
13.4	22	13.4	8.8
20	23.2	17.6	13.7
26.3	24.6	22.9	16.7
31.8	26.5	28	18.4
39	28.4	29.5	20.1
43.2	29.1	30.1	16.9
41.1	29.7	27.6	17.2
40.8	28.9	24.2	13.3
36.9	27.5	17.9	10.8
32.2	25.7	14.6	8.7
27.2	24.4	14	4.2
24.3	23.6	11.5	3.4
22.1	22.4	7	-1.8
19.6	21.6	0.3	-4.9
14.5	20.2	-2.7	-8.4
7.7	18.6	-5.7	-11.7
3.6	16.9	-6	-11.2
0.3	16	-6.2	-12.8
0	15	-7	-12.4
-0.2	15	-6.9	-12.3
-0.5	14.7	-5.7	-12.3
-0.3	15	-6	-12.4
1	15	-6.7	-13.7
0.8	15	-8	-14.4
-1	15	-8.6	-14.3
-2.2	15	-8	-12.8
-3	15.5	-6.5	-10.4
-2	16.3	-3.3	-7.6
1.4	17.5	-0.5	-4.2
6.4	19.3	3.2	-0.3
11.4	20.8	8.7	5.5
16.2	22.9	14.9	13.1
23.8	25.3	23.4	21.9
33.4	28	31.5	27
44.3	30.9	38	32.6
51.2	33.7	43	36.4
54.5	36.6	48	36.5
58.6	38	45.1	33.3
56.6	38	35.2	25.2
49.1	35.6	21.4	17.8
38.7	32.2	16.2	15.4
