FC_N,T_BSM-WOWC-HIRLAM,H_BSM-WOWC-HIRLAM,L_BSM-WOWC-HIRLAM,R_BSM-WOWC-HIRLAM,T_BALTP-90M-GFS,H_BALTP-90M-GFS,L_BALTP-90M-GFS,R_BALTP-90M-GFS,T_HIROMB,H_HIROMB,L_HIROMB,R_HIROMB,T_M,H_M,L_M,R_M
97,60,109,17,NaN,60,78.608,14,NaN,60,77.5,16,NaN,57,108.4,13,3
98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,71,NaN,13
98,53,103,17,7,54,100.64,24,6,53,84.2,23,4,51,108.4,13,9
99,48,95,17,12,47,98.3992,13,8,47,81.6,23,13,45,108.4,13,15
100,40,106,16,4,NaN,NaN,NaN,NaN,43,89.4,18,15,39,108.4,13,17
101,58,120,12,2,60,129.072,13,NaN,NaN,NaN,NaN,NaN,60,123,10,NaN
102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,108.4,13,17
102,53,133,13,3,59,158.5568,16,1,58,92.7,4,1,59,151.3,15,1
103,NaN,NaN,NaN,NaN,23,90.2944,14,11,22,84.1,16,13,21,108.4,13,17
103,47,135,12,13,53,152.2944,19,7,55,102,14,5,53,151.3,15,7
104,16,104,16,4,16,98.0752,13,15,15,87.9,15,19,15,108.4,13,17
104,49,138,5,11,47,145.3752,16,13,49,122,15,11,47,151.3,15,13
105,9,104,8,15,10,96.2576,10,13,10,93.1,10,13,9,108.4,9,17
105,42,158,15,15,41,146.1576,18,16,43,124.7,15,16,41,151.3,15,19
106,3,107,3,18,5,100.5344,5,12,4,93.6,4,19,3,108.4,3,17
106,37,176,16,13,36,149.5344,19,20,38,127.5,5,18,35,151.3,15,19
107,30,170,15,14,30,163.0008,18,18,30,127.5,14,20,29,151.3,15,19
108,25,153,17,13,25,158.2024,20,16,24,128.8,16,20,23,151.3,15,19
109,19,152,16,17,19,152.3432,19,17,17,127.7,15,19,17,151.3,15,19
110,11,155,11,14,13,136.0224,13,18,11,123,11,18,11,151.3,11,19
111,6,156,6,14,7,125.968,7,18,5,126.1,5,18,5,151.3,5,19
112,2,154,2,13,1,132.336,1,18,0,124.5,NaN,18,0,150.5,NaN,18
113,0,83,NaN,13,0,86.3264,NaN,13,0,80,NaN,12,0,91.4,NaN,12
114,16,72,9,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,71.4,8,1
115,10,72,9,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,71.4,8,1
116,3,79,3,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,71.4,2,18
141,60,86,10,NaN,57,81.4688,22,3,60,73.1,32,NaN,60,103.7,26,NaN
142,54,124,12,6,54,91.5304,25,6,56,98.6,12,4,54,103.7,26,6
143,48,126,14,11,47,94.316,22,12,49,110.8,32,11,48,103.7,26,10
144,41,122,30,12,40,89.1872,21,12,42,114.3,26,12,42,103.7,26,10
145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,105.8,27,10,36,103.7,26,10
146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,100.2,26,10,30,103.7,26,10
146,56,112,17,2,59,126.4096,14,1,NaN,NaN,NaN,NaN,60,78.7,2,NaN
147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,96.9,25,9,24,103.7,24,10
147,49,108,15,9,53,120.4048,14,7,60,74.1,2,NaN,56,82.3,4,2
148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,94.6,18,9,18,103.7,18,10
148,41,117,14,5,47,121.164,21,11,48,87.5,3,6,50,82.3,4,2
149,11,109,11,10,NaN,NaN,NaN,NaN,12,100.2,12,10,12,103.7,12,10
149,NaN,NaN,NaN,NaN,41,118.0384,21,6,42,91.7,3,18,44,82.3,4,2
150,5,114,5,11,6,96.3544,6,8,6,103.1,6,10,6,103.7,6,10
150,NaN,NaN,NaN,NaN,36,116.4544,5,5,36,91.9,4,18,38,82.3,4,2
151,0,113,NaN,10,0,100.3712,NaN,9,0,105.2,NaN,10,0,103.7,NaN,10
151,31,71,1,4,30,127.2712,5,15,30,91.3,4,18,32,82.3,4,2
152,17,106,14,18,24,111.0184,21,16,17,94.2,5,13,18,93.1,14,4
153,10,115,10,12,11,100.1568,11,4,10,93,10,6,12,93.1,12,4
154,5,115,5,5,5,91.9432,5,5,5,97.5,5,5,6,93.1,6,4
155,0,89,NaN,3,0,92.5,NaN,3,0,95.8,NaN,3,0,93.1,NaN,4
156,1,87,1,13,0,77.7256,NaN,18,0,90,NaN,16,2,82.3,2,18
156,58,85,15,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,95.1,14,3
157,52,73,14,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,95.1,14,9
158,46,87,14,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,95.1,14,9
159,38,114,12,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39,95.1,14,9
160,32,105,12,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33,95.1,14,9
161,26,92,13,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,95.1,14,9
162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,95.1,14,9
163,14,98,13,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,95.1,14,9
163,60,87,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,90.8,13,NaN
164,8,102,7,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,95.1,9,9
164,54,93,13,6,60,72.4952,5,NaN,60,101,17,NaN,60,116.2,19,NaN
165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,95.1,3,9
165,49,96,14,10,54,74.1832,6,5,58,93.4,21,2,54,116.2,19,6
166,12,98,7,4,15,90.6848,11,13,13,94.9,6,4,13,88.5,7,3
166,43,95,15,9,NaN,NaN,NaN,NaN,53,100.4,4,7,48,116.2,19,11
167,6,103,6,3,7,81.5312,7,5,7,98.2,6,17,7,88.5,7,3
167,36,93,13,11,NaN,NaN,NaN,NaN,47,93.9,4,3,42,116.2,19,11
168,8,88,5,10,1,82.6416,1,5,1,98.3,1,17,1,88.5,1,3
168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,98.1,22,5,36,116.2,19,11
169,24,91,13,11,NaN,NaN,NaN,NaN,35,91.2,6,4,30,116.2,19,11
170,20,93,14,15,NaN,NaN,NaN,NaN,26,102.4,19,9,24,116.2,19,11
171,14,99,14,15,NaN,NaN,NaN,NaN,18,102.1,17,31,18,116.2,18,11
172,11,101,11,11,NaN,NaN,NaN,NaN,12,106.2,12,17,12,116.2,12,11
173,6,105,6,11,NaN,NaN,NaN,NaN,7,113.3,7,16,6,116.2,6,11
174,0,105,NaN,10,NaN,NaN,NaN,NaN,1,112.8,1,30,0,116.2,NaN,11
175,NaN,NaN,NaN,NaN,5,90.7096,4,18,0,105.1,NaN,25,0,74.8,NaN,5
175,NaN,NaN,NaN,NaN,58,87.1096,5,2,58,83.4,7,1,58,95.6,10,2
176,NaN,NaN,NaN,NaN,60,89.2472,5,NaN,51,86.5,6,6,52,95.6,10,3
177,NaN,NaN,NaN,NaN,54,95.0776,5,6,47,80.6,8,9,46,95.6,10,3
178,41,72,9,9,NaN,NaN,NaN,NaN,41,81,16,5,40,95.6,10,3
179,34,72,9,5,NaN,NaN,NaN,NaN,35,80.1,17,18,34,95.6,10,3
180,29,74,9,4,36,97.8816,13,19,28,80,8,6,28,95.6,10,3
181,21,77,7,4,29,103.1504,12,11,21,89.1,16,6,22,95.6,10,3
181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59,70.6,9,1
182,15,97,12,19,23,96.0216,12,10,15,97.1,15,6,16,95.6,10,3
182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,70.6,9,3
183,9,93,7,4,NaN,NaN,NaN,NaN,9,104.9,9,5,10,95.6,10,3
183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56,86.9,14,2,47,70.6,9,3
184,3,100,3,4,NaN,NaN,NaN,NaN,3,107.1,3,5,4,95.6,4,3
184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,70.6,9,3
185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,70.6,13,3
186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29,70.6,13,3
187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23,70.6,13,3
188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,70.6,13,3
189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,70.6,9,3
190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,70.6,5,3
195,60,84,27,NaN,60,87.0608,17,NaN,60,76.6,25,NaN,60,72.9,7,NaN
196,56,71,5,4,56,92.9456,20,4,57,99.5,13,3,57,90.5,10,3
197,50,89,10,10,50,105.3328,21,10,53,89,12,7,51,90.5,10,9
198,45,96,7,14,45,97.9728,21,13,47,92.6,14,13,45,90.5,10,15
199,38,72,11,13,40,85.3248,23,7,40,80.3,12,14,39,90.5,10,15
200,59,89,12,1,NaN,NaN,NaN,NaN,60,87.5,14,NaN,58,91.4,10,2
201,56,81,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52,91.4,10,8
202,47,87,12,11,NaN,NaN,NaN,NaN,51,84,15,9,46,91.4,10,14
203,15,84,12,14,15,88.768,15,7,NaN,NaN,NaN,NaN,15,90.5,10,15
203,60,92,7,NaN,60,93.068,9,NaN,NaN,NaN,NaN,NaN,60,93.2,5,NaN
204,8,84,6,14,9,85.696,9,7,9,85.4,9,15,9,90.5,7,15
204,60,170,14,NaN,60,120.996,16,NaN,60,107.7,9,NaN,60,150.7,2,NaN
205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,86.9,12,14,28,91.4,10,15
205,57,165,16,3,60,170.8808,22,NaN,60,135.5,16,NaN,58,183.9,6,2
206,NaN,NaN,NaN,NaN,24,88.9416,14,8,NaN,NaN,NaN,NaN,22,91.4,10,15
206,50,191,15,1,55,184.4416,23,5,53,146.1,15,7,52,183.9,6,8
207,14,92,9,1,19,80.3648,14,7,18,86.3,13,12,16,91.4,10,15
207,44,190,15,16,50,172.1648,24,10,48,139.1,18,12,46,183.9,6,14
208,8,80,8,1,NaN,NaN,NaN,NaN,6,71.8,6,1,10,91.4,10,15
208,39,216,17,12,42,186.8968,22,14,40,154.5,17,18,40,183.9,6,16
209,2,75,1,1,NaN,NaN,NaN,NaN,0,71.8,NaN,1,4,91.4,4,15
209,33,214,17,12,35,205.3392,21,16,36,166.3,19,16,34,183.9,6,16
210,28,206,15,15,30,196.3424,23,15,29,166.5,17,16,28,183.9,6,16
211,22,208,17,15,24,184.8336,23,14,23,167.6,17,16,22,183.9,6,16
212,17,218,17,15,19,176.6944,19,14,17,176.3,17,16,16,183.9,6,16
213,9,234,9,16,12,191.2952,12,15,10,189,10,17,10,183.9,6,16
214,3,232,3,16,6,191.6176,6,15,5,197.7,5,16,4,183.9,4,16
215,0,178,NaN,13,0,180.8192,NaN,14,0,189.3,NaN,14,0,177.5,NaN,14
216,0,86,NaN,7,0,90.9456,NaN,7,0,110.8,NaN,9,0,81.3,NaN,8
217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,79,12,13
218,6,73,6,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,79,8,13
219,0,77,NaN,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,79,2,13
220,59,119,13,1,NaN,NaN,NaN,NaN,60,103.3,12,NaN,60,89.1,14,NaN
221,58,124,22,2,60,96.092,20,NaN,58,129.8,16,2,54,89.1,14,2
222,52,84,17,8,56,118.3616,21,4,52,122,16,8,57,90.7,17,3
223,48,118,14,11,49,102.5024,21,11,48,132.5,20,12,51,90.7,17,8
224,36,95,14,2,43,111.28,22,13,43,126.7,20,13,45,90.7,17,8
225,30,95,7,3,37,114.38,16,13,36,118.9,14,13,39,90.7,17,8
226,30,118,4,7,30,103.792,21,12,29,102.9,17,12,33,90.7,17,8
227,NaN,NaN,NaN,NaN,25,91.332,22,11,23,95,17,2,27,90.7,17,8
228,20,131,20,5,20,88.8528,20,12,18,116.6,14,15,21,90.7,17,8
229,14,141,14,11,14,98.552,14,14,14,125.9,14,14,15,90.7,15,8
230,8,131,8,12,10,103.4608,10,13,8,116.4,8,13,9,90.7,3,8
231,3,108,3,13,3,94.2016,3,14,2,116.7,2,14,3,90.7,3,8
232,16,79,10,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,81.6,11,3
233,11,75,11,4,NaN,NaN,NaN,NaN,17,77.2,13,14,10,81.6,10,3
234,4,82,4,2,NaN,NaN,NaN,NaN,11,80.9,11,18,4,81.6,4,3
235,4,78,3,16,NaN,NaN,NaN,NaN,5,85.6,5,16,5,79.2,4,8
236,0,71,NaN,13,NaN,NaN,NaN,NaN,0,84.1,NaN,19,0,71.1,NaN,7
238,60,70,13,NaN,60,78.5928,11,NaN,59,82.1,11,1,60,70.5,6,NaN
239,54,73,6,6,57,89.1152,15,3,54,74.1,15,6,54,70.5,6,6
240,NaN,NaN,NaN,NaN,60,106.6152,25,NaN,60,84.2,7,NaN,60,86.2,5,NaN
241,NaN,NaN,NaN,NaN,59,103.6368,11,1,58,90.5,12,2,57,110.5,8,3
242,51,92,9,9,49,109.832,7,2,52,90.1,7,8,51,110.5,8,9
243,45,81,10,4,41,105.132,6,6,45,84.1,5,13,45,110.5,8,10
244,39,103,9,11,35,105.5984,17,14,38,94.9,7,13,39,110.5,8,10
245,32,116,11,11,NaN,NaN,NaN,NaN,34,103.2,13,10,33,110.5,8,10
246,28,125,9,9,24,110.3176,18,14,28,112.6,9,8,27,110.5,8,10
246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,71.3,2,3
247,21,132,8,10,20,100.5544,20,13,22,115.1,9,9,21,110.5,8,10
247,54,75,4,4,60,89.5544,7,NaN,NaN,NaN,NaN,NaN,60,95.6,6,NaN
248,15,114,8,9,14,100.6296,9,11,16,113.9,9,9,15,110.5,8,10
248,60,142,4,NaN,58,139.7296,11,2,60,132.8,6,NaN,60,114.3,1,NaN
249,9,124,9,10,9,90.9096,9,10,10,121.6,9,9,9,110.5,8,10
249,54,144,11,6,52,126.4096,9,8,54,132.3,6,6,56,117.4,3,4
250,3,111,3,10,1,89.0088,1,12,4,122,4,9,3,110.5,3,10
250,46,146,10,14,43,122.7088,11,17,49,124.3,5,11,50,117.4,3,9
251,0,81,NaN,7,0,84.2984,NaN,7,0,100.6,NaN,7,0,81.5,NaN,7
251,43,136,9,11,38,119.6984,8,16,43,122.3,3,13,44,117.4,3,9
252,5,80,4,2,NaN,NaN,NaN,NaN,6,84.1,5,2,7,74,6,1
252,38,113,3,11,34,109.1552,8,13,37,112.1,3,11,38,117.4,3,9
253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,84.1,NaN,2,1,74,1,1
253,33,100,14,9,28,102.2184,9,13,32,105.7,5,10,32,117.4,3,9
254,24,108,5,17,21,115.9488,8,15,25,113.4,12,14,26,117.4,14,9
255,16,106,15,13,14,101.744,13,17,17,109.2,17,13,20,117.4,14,9
256,9,107,9,14,9,101.2512,7,16,11,108,10,13,14,117.4,14,9
257,6,110,6,11,2,103.0904,2,17,5,107.3,5,12,8,117.4,8,9
258,2,111,1,9,0,104.1864,NaN,13,0,105.2,NaN,11,2,117.4,2,9
